初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
53,603610,麒盛科技,16.90,1.20,0.20,6.16万,1612,16.89,16.90,-0.18,1.75,1.04亿,30.44, 家居用品,17.05,16.51,16.86,16.70,3.23,0.88,-16.74,-240,16.81,2.98万,3.18万,0.94,28,62,1.89,3.530亿,59.66亿,3.530亿,59.66亿,1.14,7.37,6.48,11.63,2026/04/27,16.71,1.14%,2,8.96,-11.29,7.23,69.00,1.58,7.05万,1.18亿,—,—,0.24,9.95,8.96,7.23,10.51,17.17,2,59.66亿,59.66亿,1.50万,30.44,39.27,1.89,2.02,0.59,0.420,0.430,4.72,3.12,0.08,-2.74,-11.89,0.29,33.27,14.5亿,31.48,—,0.96,0.0074,0.0170,260,43.84万,377,63.56万,0.37,0.37,—,—,—,—,—,—,—,—,—,—,0,1,—,614万,0.24,1628万
54,002134,天津普林,25.32,0.80,0.20,11.5万,2316,25.32,25.33,0.04,4.67,2.91亿,134.69, 元件,25.77,24.80,25.11,25.12,3.86,0.79,78.65,1989,25.28,6.17万,5.35万,1.15,431,4,12.19,2.466亿,62.45亿,2.465亿,62.41亿,1.36,8.21,20.79,34.26,2026/04/27,24.98,1.36%,1,26.10,-5.49,22.97,43.13,-0.12,15.3万,3.83亿,—,—,0.84,10.18,26.10,22.97,31.04,49.09,1,62.45亿,62.41亿,1.24万,134.69,394.04,12.19,4.15,—,0.050,0.064,2.29,0.87,42.39,2187.33,8501.72,0.01,16.37,15.7亿,66.35,—,-0.04,0.0215,0.0305,531,133万,43,10.80万,0.23,0.35,—,—,—,—,—,—,—,—,—,—,0,1,—,1962万,0.45,-17.3万
55,002029,七 匹 狼,11.12,-0.98,-0.11,17.5万,3071,11.11,11.12,-0.18,2.64,1.98亿,23.57, 服装家纺,11.56,11.09,11.33,11.23,4.19,0.63,47.08,1259,11.27,9.33万,8.21万,1.14,957,139,1.16,7.050亿,78.40亿,6.654亿,73.99亿,-0.09,13.01,11.55,23.50,2026/04/27,11.13,-0.09%,-1,7.23,0.82,4.41,86.26,1.17,21.3万,2.40亿,—,—,-1.85,14.88,7.23,4.41,21.64,34.42,-1,78.40亿,73.99亿,1.69万,23.57,23.57,1.16,2.61,0.86,0.490,0.472,5.02,3.26,-4.35,16.91,-86.91,0.13,54.42,32.1亿,31.95,—,0.89,0.0223,0.0377,1482,168万,147,16.66万,0.42,0.70,—,—,—,—,—,—,—,—,—,—,0,2,—,-367万,-0.08,585万
56,002706,良信股份,11.57,2.21,0.25,74.2万,1.42万,11.56,11.57,-0.26,8.11,8.53亿,49.00, 电网设备,11.77,11.27,11.35,11.32,4.42,1.11,-31.71,-2592,11.50,34.6万,39.6万,0.87,1814,61,3.05,11.23亿,129.9亿,9.144亿,105.8亿,1.58,7.73,24.93,44.67,2026/04/27,11.39,1.58%,1,15.82,7.33,13.77,48.52,-0.18,55.6万,6.28亿,—,—,1.94,9.15,15.82,13.77,39.92,78.15,1,129.9亿,105.8亿,1.84万,49.00,49.00,3.05,2.90,1.69,0.250,0.236,6.29,4.65,5.82,-15.03,-11.43,0.14,29.22,16.6亿,27.70,—,0.27,0.0268,0.0294,2448,278万,394,44.72万,0.24,0.44,—,—,—,—,—,—,—,—,—,—,0,2,—,4383万,0.45,-1499万
57,002115,三维通信,14.41,-1.84,-0.27,146万,1.81万,14.41,14.42,0.00,19.40,20.89亿,3051.03, 通信服务,14.63,14.00,14.38,14.68,4.29,1.27,-10.13,-1699,14.31,81.8万,64.1万,1.27,3949,3159,5.63,8.110亿,116.9亿,7.522亿,108.4亿,8.10,11.62,74.97,95.90,2026/04/27,13.33,8.10%,-1,18.31,13.11,18.11,96.59,4.86,200万,28.83亿,—,—,0.21,15.46,18.31,18.11,88.99,122.80,-1,116.9亿,108.4亿,4198,3051.03,-47.91,5.63,1.21,—,0.004,-0.301,0.14,0.40,-14.89,111.67,76.67,-0.05,4.92,17.0亿,43.93,—,-2.04,0.1796,0.1985,1.35万,1943万,298,42.86万,0.67,0.68,—,—,—,—,—,—,—,—,—,—,0,6,—,-4458万,-0.45,1.07亿
58,600637,东方明珠,9.98,-1.38,-0.14,70.0万,1.08万,9.98,9.99,-0.10,2.08,6.98亿,46.46, 电视广播Ⅱ,10.11,9.84,9.91,10.12,2.67,0.90,6.31,1115,9.98,38.1万,31.8万,1.20,2771,641,1.12,33.62亿,335.5亿,33.62亿,335.5亿,-8.10,-0.60,9.78,13.61,2026/04/27,10.86,-8.10%,-3,5.94,1.32,3.96,39.00,-1.27,81.8万,8.34亿,—,—,0.71,0.60,5.94,3.96,12.38,19.08,-3,335.5亿,335.5亿,2.12万,46.46,68.25,1.12,4.41,1.80,0.161,0.146,1.80,1.24,-1.76,-24.64,-25.16,0.13,29.62,77.6亿,18.32,—,-2.08,0.0567,0.1063,1.90万,1888万,111,11.03万,1.24,2.33,—,—,—,—,—,—,—,—,—,—,0,5,—,-1112万,-0.06,-1.40亿
59,600826,兰生股份,9.57,-3.72,-0.37,17.0万,2903,9.57,9.58,-0.10,2.31,1.65亿,29.15, 专业服务,9.97,9.57,9.93,9.94,4.02,0.90,-7.48,-169,9.75,10.6万,6.32万,1.68,317,157,1.64,7.355亿,70.39亿,7.355亿,70.39亿,-7.36,1.81,7.25,15.19,2026/04/25,10.32,-7.27%,-3,-1.03,-9.20,-3.53,21.60,-0.30,16.3万,1.62亿,—,—,-3.63,2.03,-1.03,-3.53,14.64,17.54,-3,70.39亿,70.39亿,1.75万,29.15,24.65,1.64,4.05,2.88,0.250,0.388,4.27,3.38,10.00,-10.51,-15.85,0.28,30.62,15.7亿,26.24,—,-0.10,0.0173,0.0467,1276,127万,516,51.24万,0.97,0.78,—,—,—,—,—,—,—,—,—,—,0,2,—,-1013万,-0.39,-287万
60,603599,广信股份,14.85,-1.66,-0.25,15.0万,1981,14.85,14.86,-0.07,1.64,2.24亿,19.48, 农化制品,15.30,14.79,15.10,15.10,3.38,0.60,41.88,1173,14.99,8.79万,6.18万,1.42,1021,190,1.36,9.103亿,135.2亿,9.103亿,135.2亿,-0.67,9.76,5.75,15.30,2026/04/25,15.17,-2.11%,-1,2.48,29.36,3.56,42.11,1.21,16.7万,2.52亿,—,—,-1.66,7.69,2.48,3.56,14.01,20.62,-1,135.2亿,135.2亿,4.78万,19.48,18.65,1.36,3.54,1.82,0.570,0.796,5.34,3.50,-23.69,-9.36,-13.99,0.05,31.25,51.2亿,33.91,—,0.00,0.0057,0.0097,515,77.77万,169,25.52万,0.55,0.31,—,—,—,—,—,—,—,—,—,—,0,2,—,-2575万,-0.33,-2231万
61,603066,音飞储存,11.60,2.38,0.27,17.5万,2763,11.59,11.60,0.00,5.95,2.04亿,41.01, 物流,11.88,11.33,11.33,11.33,4.85,1.07,-15.12,-289,11.64,8.51万,9.00万,0.95,340,167,2.38,2.942亿,34.12亿,2.942亿,34.12亿,2.02,15.54,18.84,33.78,2026/04/25,11.12,4.32%,1,15.42,7.91,14.62,8.82,-1.31,14.8万,1.69亿,—,—,2.38,14.74,15.42,14.62,32.36,36.42,1,34.12亿,34.12亿,1.50万,41.01,518.84,2.38,2.78,0.45,0.212,0.022,4.42,2.06,-23.74,-41.19,-44.59,0.00,22.90,15.8亿,52.29,—,0.00,0.0285,0.0601,839,95.06万,186,21.07万,0.52,0.57,—,—,—,—,—,—,—,—,—,—,0,1,—,351万,0.22,205万
62,002999,天禾股份,7.27,-0.82,-0.06,31.7万,4518,7.27,7.28,0.00,9.23,2.30亿,53.76, 农化制品,7.44,7.05,7.11,7.33,5.32,0.97,-30.65,-1761,7.27,16.8万,14.9万,1.12,435,1283,2.11,3.476亿,25.27亿,3.437亿,24.99亿,-1.62,4.45,27.37,56.85,2026/04/25,7.66,-5.09%,-4,2.68,6.44,2.83,27.77,-0.14,29.2万,2.14亿,—,—,2.25,4.45,2.68,2.83,53.88,65.41,-4,25.27亿,24.99亿,1.55万,53.76,53.81,2.11,0.19,1.71,0.100,0.135,2.90,0.47,-8.57,234.89,299.30,-0.19,7.06,55.8亿,76.79,—,-3.00,0.1815,0.2830,6237,443万,0,—,3.28,2.14,—,—,—,—,—,—,—,—,—,—,0,1,—,1535万,0.96,812万
63,603520,司太立,12.08,1.51,0.18,44.3万,5408,12.07,12.08,-0.08,10.10,5.40亿,137.80, 化学制药,12.44,11.96,11.96,11.90,4.03,1.08,-23.09,-1455,12.20,22.9万,21.4万,1.07,514,1105,2.04,4.384亿,52.96亿,4.384亿,52.96亿,2.81,12.06,28.38,56.91,2026/04/25,11.64,3.78%,5,12.16,28.51,8.44,50.25,0.68,40.3万,4.78亿,—,—,1.00,14.18,12.16,8.44,54.45,71.33,5,52.96亿,52.96亿,1.34万,137.80,-181.06,2.04,2.22,1.24,0.070,-0.067,1.10,0.49,2.24,221.14,531.19,0.06,21.83,32.4亿,55.44,—,0.50,0.0871,0.1121,3817,457万,274,32.77万,1.53,0.95,—,—,—,—,—,—,—,—,—,—,0,2,—,-2354万,-0.57,251万
64,000062,深圳华强,36.92,3.56,1.27,117万,1.83万,36.92,36.93,0.00,11.20,42.94亿,83.41, 其他电子Ⅱ,37.70,35.20,35.75,35.65,7.01,1.08,84.90,4544,36.71,63.0万,54.0万,1.17,1926,72,5.74,10.46亿,386.1亿,10.45亿,385.8亿,-1.99,13.46,34.86,63.22,2026/04/25,34.24,7.83%,1,50.02,50.57,42.11,54.22,-1.25,102万,36.10亿,—,—,3.27,18.64,50.02,42.11,55.88,91.32,1,386.1亿,385.8亿,9051,83.41,83.41,5.74,1.55,1.35,0.443,0.443,6.66,3.02,13.46,117.38,164.22,-0.12,8.20,107亿,58.36,—,0.28,0.2255,0.7433,2.36万,8423万,246,87.87万,0.97,2.31,—,—,—,—,—,—,—,—,—,—,0,5,—,-2.52亿,-2.15,-10.5亿
65,000906,浙商中拓,6.34,0.48,0.03,22.7万,5067,6.33,6.34,-0.16,3.24,1.44亿,17.76, 物流,6.42,6.26,6.26,6.31,2.54,0.55,-28.19,-2204,6.34,11.6万,11.1万,1.04,726,473,0.95,7.097亿,44.99亿,7.012亿,44.46亿,-1.55,10.45,12.69,32.55,2026/04/25,6.36,-0.31%,2,9.69,7.09,8.93,9.88,1.61,29.2万,1.84亿,—,—,1.28,9.69,9.69,8.93,31.53,35.06,2,44.99亿,44.46亿,2.46万,17.76,22.85,0.95,0.02,3.15,0.230,0.277,3.46,1.02,15.90,-47.51,-2090.60,-0.13,0.83,438亿,82.12,—,-0.79,0.0293,0.0547,2056,129万,603,37.75万,0.64,0.70,—,—,—,—,—,—,—,—,—,—,0,1,—,-172万,-0.07,-2734万
66,002406,远东传动,7.96,-1.00,-0.08,42.0万,1.33万,7.95,7.96,-0.25,6.98,3.36亿,37.21, 汽车零部件,8.10,7.95,8.00,8.04,1.87,0.69,14.46,2786,8.00,24.5万,17.5万,1.40,5889,1571,1.43,7.302亿,58.13亿,6.022亿,47.94亿,-5.69,2.58,27.04,57.58,2026/04/25,8.43,-5.58%,-3,9.94,0.25,9.19,21.34,-1.71,49.9万,4.02亿,—,—,-0.50,3.92,9.94,9.19,55.41,67.08,-3,58.13亿,47.94亿,1.03万,37.21,37.21,1.43,3.70,3.77,0.210,0.214,3.85,3.28,22.90,32.01,55.13,0.10,27.29,10.2亿,19.85,—,-0.50,0.0202,0.0224,1219,97.52万,8,6400,0.24,0.24,—,—,—,—,—,—,—,—,—,—,0,1,—,297万,0.07,-4781万
67,300422,博世科,5.60,-2.10,-0.12,38.4万,8333,5.60,5.61,-0.36,7.52,2.18亿,-10.56, 环境治理,5.77,5.56,5.72,5.72,3.67,0.72,-16.03,-1654,5.66,22.4万,16.1万,1.39,1181,790,2.70,5.339亿,29.90亿,5.115亿,28.64亿,1.45,20.95,34.07,59.56,2026/04/25,5.56,0.72%,-1,13.36,22.00,12.22,36.25,1.78,61.5万,3.50亿,—,—,-2.10,20.95,13.36,12.22,57.88,64.83,-1,29.90亿,28.64亿,2.47万,-10.56,-2.93,2.70,1.56,—,-0.400,-1.911,-17.56,-2.30,27.10,-270.83,-97.51,-0.01,8.90,80.7亿,86.53,—,0.00,0.1036,0.1709,5297,303万,36,2.06万,0.96,0.86,—,—,—,—,—,—,—,—,—,—,0,1,—,-2786万,-1.60,378万
68,002756,永兴材料,87.24,4.11,3.44,30.4万,2382,87.22,87.24,0.16,7.82,26.66亿,66.36, 能源金属,89.80,85.35,85.75,83.80,5.31,1.37,31.17,119,87.70,14.8万,15.6万,0.95,87,8,3.76,5.391亿,470.3亿,3.887亿,339.1亿,7.23,19.26,19.88,36.38,2026/04/25,78.21,11.55%,2,16.60,60.81,18.77,196.43,10.00,20.1万,16.25亿,—,—,1.74,22.70,16.60,18.77,31.47,56.98,2,470.3亿,339.1亿,7401,66.36,77.85,3.76,6.36,0.90,1.010,1.121,4.25,3.88,-10.98,-45.25,-39.79,0.31,16.04,16.6亿,11.52,—,2.33,0.0951,0.1195,3695,3168万,199,171万,2.27,1.84,—,—,—,—,—,1.62亿,1.93万,—,9.60,—,0,4,昨日首板,2260万,0.08,8576万
69,603680,今创集团,14.36,0.77,0.11,9.34万,2899,14.36,14.37,-0.07,1.19,1.33亿,17.13, 轨交设备Ⅱ,14.39,14.10,14.20,14.25,2.04,0.71,-6.85,-174,14.28,4.49万,4.85万,0.93,349,431,2.01,7.837亿,112.5亿,7.837亿,112.5亿,-1.03,10.04,4.44,9.63,2026/04/25,14.03,2.35%,1,7.32,-6.81,10.38,91.47,-0.28,9.64万,1.38亿,—,—,1.13,12.63,7.32,10.38,9.07,11.71,1,112.5亿,112.5亿,5.07万,17.13,22.30,2.01,2.26,1.04,0.630,0.644,8.87,5.33,15.66,69.79,84.52,0.06,30.75,35.0亿,38.37,—,-0.35,0.0036,0.0145,280,39.76万,208,29.54万,0.38,0.29,—,—,—,—,—,—,—,—,—,—,0,2,—,1383万,0.50,2293万
70,002301,齐心集团,6.90,0.73,0.05,20.4万,1593,6.90,6.91,0.00,2.85,1.42亿,26.59, 文娱用品,7.03,6.85,6.91,6.85,2.63,0.61,0.02,1,6.94,10.5万,9.92万,1.06,614,174,1.58,7.213亿,49.77亿,7.180亿,49.54亿,-3.77,1.92,9.94,26.23,2026/04/23,7.45,-7.38%,2,0.44,-10.16,-2.40,3.14,0.29,18.2万,1.24亿,—,—,-0.14,-7.38,0.44,-2.40,22.71,31.59,2,49.77亿,49.54亿,1.97万,26.59,111.44,1.58,0.46,1.00,0.190,0.062,4.46,1.69,-7.94,-11.45,-14.43,0.03,9.05,56.2亿,64.21,—,0.88,0.0496,0.0864,3564,246万,184,12.71万,0.92,1.96,—,—,—,—,—,—,—,—,—,—,0,1,—,-618万,-0.22,-837万
71,603390,通达电气,13.35,-1.98,-0.27,22.7万,7593,13.35,13.36,-0.07,6.47,3.05亿,64.15, 汽车零部件,13.80,13.29,13.49,13.62,3.74,0.68,-8.96,-363,13.45,12.2万,10.4万,1.17,690,48,2.91,3.517亿,46.95亿,3.505亿,46.79亿,-6.51,10.70,23.48,54.30,2026/04/23,13.27,0.60%,-4,15.58,2.14,12.66,42.78,-2.51,26.9万,3.67亿,—,—,-1.04,0.60,15.58,12.66,51.81,57.54,-4,46.95亿,46.79亿,1.10万,64.15,73.59,2.91,5.05,0.67,0.160,0.181,3.41,2.90,64.78,228.58,473.73,0.22,27.58,2.79亿,14.71,—,-0.95,0.0622,0.1693,2180,294万,22,2.97万,0.68,0.81,—,—,—,—,—,—,—,—,—,—,0,2,—,-1944万,-1.13,-7441万
72,002242,九阳股份,10.88,1.87,0.20,29.9万,3206,10.88,10.89,-0.09,3.93,3.29亿,70.56, 小家电,11.35,10.70,10.84,10.68,6.09,0.72,34.17,2275,11.01,14.4万,15.5万,0.93,1329,1240,2.42,7.630亿,83.02亿,7.617亿,82.87亿,-2.42,4.92,10.96,31.02,2026/04/23,11.41,-4.65%,1,13.69,4.21,11.48,16.99,-1.20,24.7万,2.66亿,—,—,0.37,-4.65,13.69,11.48,25.98,45.51,1,83.02亿,82.87亿,1.78万,70.56,70.56,2.42,1.01,1.38,0.160,0.154,3.41,1.52,-7.23,-3.85,78.41,0.17,26.77,41.9亿,53.76,—,1.50,0.0590,0.1818,4495,487万,182,19.73万,2.19,1.82,—,—,—,—,—,—,—,—,—,—,0,2,—,57.0万,0.02,-5008万
73,600770,综艺股份,7.62,-3.42,-0.27,209万,3.25万,7.62,7.63,0.53,16.11,15.97亿,90.78, 综合Ⅱ,8.07,7.41,7.89,7.89,8.37,1.17,83.82,1.77万,7.63,115万,94.8万,1.21,164,272,2.89,13.00亿,99.06亿,13.00亿,99.06亿,9.48,32.29,53.45,84.98,2026/04/23,6.34,20.19%,-1,38.29,47.39,36.31,90.50,3.00,295万,22.98亿,—,—,-3.42,20.19,38.29,36.31,81.11,94.28,-1,99.06亿,99.06亿,2.10万,90.78,90.78,2.89,20.99,—,0.084,0.084,3.26,2.38,35.66,261.12,63.69,0.12,21.94,11.4亿,18.95,—,0.00,0.4242,0.7595,5.52万,4352万,1.06万,834万,0.65,1.87,—,—,—,—,—,—,—,—,—,—,0,5,6天3板,-4258万,-0.77,5249万
74,300061,旗天科技,9.59,-0.62,-0.06,20.6万,8624,9.59,9.60,-0.52,3.31,1.98亿,-169.95, 广告营销,9.69,9.51,9.60,9.65,1.87,0.41,-29.02,-1523,9.61,11.6万,8.96万,1.30,462,248,12.06,6.590亿,63.20亿,6.222亿,59.67亿,-4.20,17.38,16.35,43.82,2026/04/23,9.80,-2.14%,-4,18.40,-8.84,16.67,-14.38,-3.50,37.6万,3.65亿,—,—,-0.10,-2.14,18.40,16.67,38.27,49.35,-4,63.20亿,59.67亿,1.17万,-169.95,-28.46,12.06,13.64,—,-0.040,-0.337,-5.19,-2.06,-31.76,-39.23,-26.50,-0.22,30.12,7.49亿,58.07,—,-0.52,0.0240,0.0276,1494,143万,102,9.79万,0.64,0.40,—,—,—,—,—,—,—,—,—,—,0,1,—,-273万,-0.05,-2984万
75,000537,绿发电力,9.89,-3.51,-0.36,59.6万,6397,9.88,9.89,0.00,2.90,5.94亿,18.93, 电力,10.29,9.86,10.25,10.25,4.20,0.59,46.66,9887,9.97,38.0万,21.6万,1.75,7453,588,1.02,20.56亿,203.3亿,20.56亿,203.3亿,-8.09,-6.61,10.27,27.54,2026/04/23,11.65,-15.11%,-5,-2.18,20.46,-2.66,21.95,-0.49,60.5万,6.25亿,—,—,-3.51,-15.11,-2.18,-2.66,20.65,38.77,-5,203.3亿,203.3亿,4.81万,18.93,22.63,1.02,4.40,2.03,0.390,0.437,3.97,1.31,26.78,-12.02,-3.06,0.42,52.15,683亿,72.43,—,0.00,0.0375,0.1210,7716,791万,793,81.28万,1.21,1.28,—,—,—,—,—,—,—,—,—,—,0,4,—,-7647万,-1.21,-1.86亿
76,002606,大连电瓷,14.49,-0.62,-0.09,67.0万,7161,14.49,14.50,0.00,15.90,9.92亿,41.35, 电网设备,15.38,14.38,14.70,14.58,6.86,0.75,7.59,385,14.81,36.3万,30.7万,1.18,60,1629,3.50,4.391亿,63.62亿,4.211亿,61.02亿,-2.23,19.46,54.47,122.14,2026/04/23,13.34,8.62%,-2,31.13,65.79,29.38,70.07,-2.80,62.3万,9.13亿,—,—,-1.43,8.62,31.13,29.38,116.70,149.12,-2,63.62亿,61.02亿,1.01万,41.35,37.22,3.50,4.08,0.51,0.270,0.389,6.52,3.86,5.98,-25.82,-23.63,0.10,30.56,13.8亿,43.10,—,0.82,0.0900,0.1249,3789,557万,39,5.73万,0.58,0.61,—,—,—,—,—,—,—,—,—,—,0,5,—,-6288万,-1.43,-5309万
77,002490,山东墨龙,10.06,1.00,0.10,71.9万,1.09万,10.05,10.06,0.10,13.28,7.27亿,1556.82, 专用设备,10.36,9.81,10.20,9.96,5.52,0.73,27.79,5019,10.11,35.8万,36.1万,0.99,6132,420,16.12,7.978亿,80.26亿,5.417亿,54.50亿,-4.19,13.29,43.63,103.72,2026/04/23,9.77,2.97%,1,5.56,54.77,6.46,149.01,-2.54,65.4万,6.53亿,—,—,-1.37,2.97,5.56,6.46,87.91,133.73,1,80.26亿,54.50亿,1.13万,1556.82,1556.82,16.12,4.56,—,0.010,0.006,1.04,0.19,29.88,111.80,91.13,0.15,9.97,21.8亿,81.45,—,2.41,0.2337,0.4136,1.27万,1291万,82,8.36万,2.04,1.94,—,—,—,—,—,—,—,—,—,—,0,7,—,-377万,-0.12,-6073万
78,601016,节能风电,4.26,-6.58,-0.30,530万,5.21万,4.25,4.26,0.00,8.77,22.94亿,27.87, 电力,4.54,4.25,4.50,4.56,6.36,0.67,18.22,2.86万,4.33,336万,194万,1.73,3.85万,4295,1.58,65.44亿,278.8亿,60.38亿,257.2亿,-8.39,4.67,30.65,74.74,2026/04/23,4.48,-4.91%,-2,-0.47,44.41,0.00,55.47,-3.59,575万,26.65亿,—,—,-5.33,-4.91,-0.47,0.00,60.46,97.75,-2,278.8亿,257.2亿,3.20万,27.87,30.99,1.58,6.03,1.72,0.116,0.137,4.22,1.75,-10.50,-36.45,-37.34,0.76,42.80,264亿,58.69,—,-1.32,0.1168,0.2061,7.05万,3173万,1342,60.40万,2.01,1.23,—,—,—,—,—,—,—,—,—,—,0,6,—,-2.66亿,-1.83,-5.33亿
79,600726,华电能源,6.59,-7.18,-0.51,417万,5.04万,6.58,6.59,0.00,5.58,28.20亿,146.28, 电力,7.17,6.55,7.08,7.10,8.73,0.83,17.76,1.50万,6.75,223万,195万,1.15,2.30万,8224,12.67,79.07亿,521.1亿,74.75亿,492.6亿,3.29,37.58,20.26,39.27,2026/04/23,5.27,25.05%,-1,2.81,175.73,11.51,199.55,1.14,533万,38.55亿,—,—,-6.92,25.05,2.81,11.51,34.58,52.10,-1,521.1亿,492.6亿,5.66万,146.28,-2600.04,12.67,3.13,—,0.030,-0.003,6.83,2.31,-11.25,-40.99,-18.36,0.07,18.02,253亿,81.15,—,-0.28,0.0803,0.5738,6.01万,4253万,547,38.73万,0.74,1.13,—,—,—,—,—,—,—,—,—,—,0,12,6天4板,-2.50亿,-3.62,-2.56亿
80,600052,东望时代,4.44,9.90,0.40,53.9万,209,4.44,—,0.00,6.38,2.34亿,42.57, 电力,4.44,4.04,4.06,4.04,9.90,0.65,100.00,19.2万,4.34,31.6万,22.3万,1.41,18.7万,0,1.38,8.442亿,37.48亿,8.442亿,37.48亿,2.07,6.73,20.06,55.75,2026/04/22,4.16,6.73%,1,11.00,-5.73,10.72,9.09,-3.58,51.8万,2.10亿,—,—,9.36,-3.06,11.00,10.72,43.85,64.54,1,37.48亿,37.48亿,2.64万,42.57,-9.51,1.38,5.55,—,0.080,-0.467,2.49,1.99,96.51,-29.13,-171.35,0.48,13.48,2.65亿,8.85,—,0.50,0.0319,0.0523,2697,109万,1130,45.88万,0.80,0.52,09:42:50,8304万,09:54:29,8304万,18.7万,—,—,34.71,—,2.22,2,3,今日首板,7835万,3.42,7722万
81,603606,东方电缆,62.13,-1.99,-1.26,15.2万,1805,62.13,62.14,0.05,2.20,9.41亿,33.61, 电网设备,63.12,61.19,63.00,63.39,3.04,0.79,53.21,516,62.05,8.59万,6.58万,1.31,90,25,5.16,6.877亿,427.3亿,6.877亿,427.3亿,-3.09,-7.54,6.02,16.20,2026/04/22,67.20,-7.54%,-1,2.63,3.98,1.42,26.59,2.00,13.3万,8.38亿,—,—,-1.38,-5.74,2.63,1.42,11.24,24.39,-1,427.3亿,427.3亿,1.59万,33.61,33.61,5.16,3.94,0.90,1.850,1.849,16.83,9.18,19.26,26.11,38.01,0.29,22.11,72.5亿,46.69,—,-0.62,0.0163,0.0265,1124,708万,89,56.07万,1.61,0.85,—,—,—,—,—,—,—,—,—,—,0,1,—,-2966万,-0.11,-6786万
82,603496,恒为科技,30.51,1.03,0.31,22.8万,2891,30.51,30.52,0.07,7.13,6.89亿,279.63, 计算机设备,30.55,29.56,30.00,30.20,3.28,0.57,64.14,2998,30.19,12.0万,10.8万,1.12,227,120,7.03,3.202亿,97.70亿,3.202亿,97.70亿,-2.02,-3.14,22.98,69.49,2026/04/22,31.50,-3.14%,2,8.15,11.84,7.02,22.53,1.96,22.4万,6.80亿,—,—,1.70,-4.24,8.15,7.02,49.66,91.33,2,97.70亿,97.70亿,5648,279.63,279.63,7.03,9.33,0.08,0.109,0.109,2.54,1.81,-6.31,30.13,33.37,0.38,29.14,4.15亿,23.04,—,-0.66,0.0336,0.0455,1077,323万,144,43.20万,0.51,0.48,—,—,—,—,—,—,—,—,—,—,0,3,—,331万,0.05,-7855万
83,603903,中持股份,12.24,3.55,0.42,13.3万,2240,12.23,12.24,-0.08,5.20,1.64亿,49.24, 环境治理,12.80,12.04,12.15,11.82,6.43,1.19,-15.08,-308,12.34,7.38万,5.90万,1.25,66,301,2.00,2.553亿,31.25亿,2.553亿,31.25亿,0.49,-5.12,10.71,27.12,2026/04/22,12.90,-5.12%,1,7.27,-15.88,6.53,84.34,0.00,6.79万,8068万,—,—,0.74,-3.16,7.27,6.53,18.59,35.80,1,31.25亿,31.25亿,1.62万,49.24,-46.63,2.00,2.92,—,0.190,-0.262,3.09,0.99,2.15,2157.81,620.08,0.00,31.70,25.6亿,60.69,—,2.79,0.0597,0.0959,1524,185万,34,4.13万,2.94,2.25,—,—,—,—,—,—,—,—,—,—,0,1,—,87.8万,0.05,-423万
84,603815,交建股份,7.28,3.56,0.25,32.5万,3573,7.28,7.29,0.00,5.25,2.36亿,24.66, 基础建设,7.42,7.02,7.04,7.03,5.69,0.74,-20.21,-4284,7.27,14.4万,18.1万,0.79,1321,3398,1.86,6.189亿,45.06亿,6.189亿,45.06亿,5.35,4.30,14.68,40.84,2026/04/21,7.07,2.97%,3,21.74,-2.15,20.73,1.68,1.01,28.5万,2.01亿,—,—,3.41,0.55,21.74,20.73,29.85,76.35,3,45.06亿,45.06亿,3.23万,24.66,27.01,1.86,1.04,0.88,0.220,0.270,5.77,1.44,6.06,36.40,37.36,-0.05,11.02,74.9亿,74.80,—,0.14,0.0150,0.0288,927,65.26万,200,14.08万,0.62,0.32,—,—,—,—,—,—,—,—,—,—,0,2,—,1842万,0.79,4126万
