日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-06-06,09:25:00,股票,兴业银锡(000426.XSHE),买,市价单,2400股,15.16,36384,2400股,-,0,10.92,全部成交,2025-06-06 09:30:00
2025-06-09,09:25:00,股票,兴业银锡(000426.XSHE),卖,市价单,-2400股,15.4,-36960,-2400股,-,576,48.05,全部成交,2025-06-09 09:30:00
2025-06-09,09:25:00,股票,永安期货(600927.XSHG),买,市价单,2500股,13.54,33850,2500股,-,0,10.15,全部成交,2025-06-09 09:30:00
2025-06-10,09:25:00,股票,永安期货(600927.XSHG),卖,市价单,-2500股,16.21,-40525,-2500股,-,6675,52.68,全部成交,2025-06-10 09:30:00
2025-06-10,09:25:00,股票,江苏金租(600901.XSHG),买,市价单,6300股,5.72,36036,6300股,-,0,10.81,全部成交,2025-06-10 09:30:00
2025-06-10,09:25:00,股票,丽珠集团(000513.XSHE),买,市价单,900股,37.2,33480,900股,-,0,10.04,全部成交,2025-06-10 09:30:00
2025-06-11,09:25:00,股票,江苏金租(600901.XSHG),卖,市价单,-6300股,5.98,-37674,-6300股,-,1638,48.98,全部成交,2025-06-11 09:30:00
2025-06-11,09:25:00,股票,丽珠集团(000513.XSHE),卖,市价单,-900股,38.5,-34650,-900股,-,1170,45.04,全部成交,2025-06-11 09:30:00
2025-06-12,09:25:00,股票,巨人网络(002558.XSHE),买,市价单,2100股,17.24,36204,2100股,-,0,10.86,全部成交,2025-06-12 09:30:00
2025-06-13,09:25:00,股票,巨人网络(002558.XSHE),卖,市价单,-2100股,18.82,-39522,-2100股,-,3318,51.38,全部成交,2025-06-13 09:30:00
2025-06-16,09:25:00,股票,东吴证券(601555.XSHG),买,市价单,4700股,8.2,38540,4700股,-,0,11.56,全部成交,2025-06-16 09:30:00
2025-06-16,09:25:00,股票,金风科技(002202.XSHE),买,市价单,4100股,9.64,39524,4100股,-,0,11.86,全部成交,2025-06-16 09:30:00
2025-06-16,09:25:00,股票,东山精密(002384.XSHE),买,市价单,1100股,31.15,34265,1100股,-,0,10.28,全部成交,2025-06-16 09:30:00
