日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-04-01,09:40:20,基金,银行ETF(512800.XSHG),买,市价单,18800股,1.52,28576,18800股,-,0,5,全部成交,2025-04-01 09:40:20
2025-04-08,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-4100股,6.882,-28216.2,-4100股,-,-410,5,全部成交,2025-04-08 10:35:00
2025-04-08,10:35:05,基金,30年国债(511090.XSHG),买,市价单,200股,125.896,25179.2,200股,-,0,5,全部成交,2025-04-08 10:35:05
2025-04-10,10:35:00,基金,30年国债(511090.XSHG),卖,市价单,-200股,124.91,-24982,-200股,-,-197.2,5,全部成交,2025-04-10 10:35:00
2025-04-10,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,3900股,7.14,27846,3900股,-,0,5,全部成交,2025-04-10 10:35:05
2025-04-14,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-3900股,7.336,-28610.4,-3900股,-,764.4,5,全部成交,2025-04-14 10:35:00
2025-04-14,10:35:05,基金,30年国债(511090.XSHG),买,市价单,200股,125.006,25001.2,200股,-,0,5,全部成交,2025-04-14 10:35:05
2025-04-16,10:35:00,基金,30年国债(511090.XSHG),卖,市价单,-200股,125.892,-25178.4,-200股,-,177.2,5,全部成交,2025-04-16 10:35:00
2025-04-16,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,3800股,7.446,28294.8,3800股,-,0,5,全部成交,2025-04-16 10:35:05
2025-04-23,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-3800股,7.711,-29301.8,-3800股,-,1007,5,全部成交,2025-04-23 10:35:00
2025-04-23,10:35:05,基金,30年国债(511090.XSHG),买,市价单,200股,123.22,24644,200股,-,0,5,全部成交,2025-04-23 10:35:05
2025-05-06,10:35:00,基金,30年国债(511090.XSHG),卖,市价单,-200股,124.688,-24937.6,-200股,-,293.6,5,全部成交,2025-05-06 10:35:00
2025-05-06,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,3800股,7.635,29013,3800股,-,0,5,全部成交,2025-05-06 10:35:05
2025-05-07,09:40:00,基金,银行ETF(512800.XSHG),卖,市价单,-18800股,1.524,-28651.2,-18800股,-,75.2,5,全部成交,2025-05-07 09:40:00
